pid	genus	hybrid	author	year	seed	pollen
2353#2353	DYCKIA	James Gray	Wurthmann, E., Boynton, H.*	1980s	fosteriana	platyphylla
2354#2354	DYCKIA	James Green	Wurthmann, E., Boynton, H.*	1980s	fosteriana	platyphylla
14722#14722	DYCKIA	Jaws	?	?	?	?
13271#13271	DYCKIA	Jhan	? / Smith M *	2013	pulquinensis	?
15075#15075	DYCKIA	John Catlan	Borland, Paul	2012	Brittle Star x ?	?
14960#14960	DYCKIA	Jono	Lyall, Michael	2014	Tight Fist	Maroon Madness
2355#2355	DYCKIA	June	Vandervort, D.	<1995	dawsonii	choristaminea
15505#15505	DYCKIA	Jupiter	Matsuda, Kenji	2016	Bangkok Star	Jaws
2356#2356	DYCKIA	Kadaitcha	Paulsen R	2002	'Silver King'	?
15786#15786	DYCKIA	Kazaguruma	Anyamaneetrakul, Sueb	2016	?	?
2357#2357	DYCKIA	Keith Ryde	Ruby Ryde	1987	choristaminea	fosteriana hybrid
15698#15698	DYCKIA	Kerri Lynne	Hoffman, Terrance	2012	Betty Garrison	Brittle Star F2
2358#2358	DYCKIA	Keswick	?	?	Betty Garrison	Brittle Star F2
12044#12044	DYCKIA	Kina	Thorut C / Devonshire A*	2008	marnier-lapostollei	Charlot
11454#11454	DYCKIA	Koala Bear	Chan B	circa 1996	Morning Star	?
12079#12079	DYCKIA	Koru	Thorut C / Devonshire A*	2008	marnier-lapostollei	Charlot
16219#16219	DYCKIA	Krung Thep	Anyamaneetrakul, Sueb	?	Bangkok Star	delicata
2359#2359	DYCKIA	La Rioja	n/a	?	Bangkok Star	delicata
2360#2360	DYCKIA	Lad Cutak	Foster, M.B.	1943	brevifolia	leptostachya
16202#16202	DYCKIA	Lady Joker	Matsuda, Kenji	2017	Jaws	Purple Red Silver
10268#10268	DYCKIA	Larry the Chopper	Baker B, Nguyen C*	2006	Arizona	Brittle Star
11010#11010	DYCKIA	Leopoldo Witeck	? / Coelho L*	2009	?	?
15535#15535	DYCKIA	Little One	Sangchai, Santiporn	2011	Snaggle Tooth	Brittle Star F2
11465#11465	DYCKIA	Little Sister	Baker B, Chan B*	2005	Arizona	?
15811#15811	DYCKIA	Lotamalfa	Ueda,Takashi	2014	Arizona	Ice
15726#15726	DYCKIA	Lucandia	Ueda, Takashi	2015	(marnier-lapostollei x T-Rex)	T-Rex
15759#15759	DYCKIA	Macumdooba	Ueda,Takashi	2015	goehringii	Kelly
16406#16406	DYCKIA	Madam Kanlaya	Chan, Alongkorn /  Anantapatr Chan*	2014	?	?
11450#11450	DYCKIA	Mama Bear	Chan B	circa 1996	Morning Star	?
10167#10167	DYCKIA	MammaMia	Gastaldi C	?	brevifolia	fosteriana
12707#12707	DYCKIA	Marama	Thorut C / Devonshire A*	2008	brevifolia	marnier-lapostollei
2361#2361	DYCKIA	Marble Tooth	Paulsen R	2005	'Suntan'	?
11378#11378	DYCKIA	Maroon Star	Thorut C	2007	platyphylla	Charlot
11614#11614	DYCKIA	Mary Ellen	Baker B, Chan B*	2007	?	?
13344#13344	DYCKIA	Matariki	Thorut  C / Andrew Devonshire*	2008	marnier-lapostollei	Charlot
11941#11941	DYCKIA	Metal Sky	Narak L	2009	Purple and Silver	marnier-lapostollei
15071#15071	DYCKIA	Metal Stripes	Sela, Paradon	2016	Silver Sheen Asia	marnier-lapostollei
11597#11597	DYCKIA	Milky Way	Lemieux R	2009	Brittle Star F2 x estevesii	estevesii
11582#11582	DYCKIA	Miracle	Thorut C	2007	Charlot	marnier-lapostollei var. estevesii
11960#11960	DYCKIA	Mitzi Landau	Marks R	2012	Arizona F2	Arizona F2
10138#10138	DYCKIA	Mix Up	Butcher D*	1997	Arizona F2	Arizona F2
16276#16276	DYCKIA	Moon Shadow	Anyamaneetrakul, Sueb	2015	Red Ripper x Arizona (F2)	Nagas
15290#15290	DYCKIA	Mordaranie	Ueda, Takashi	2014	 Japan	Nagas
13397#13397	DYCKIA	Morning Frost	Spak G. M.	2012	platyphylla	brevilfolia
11461#11461	DYCKIA	Morning Star	Baker B	?	dawsonii	platyphylla x fosteriana
2362#2362	DYCKIA	Morris Hobbs	?	?	dawsonii	platyphylla x fosteriana
14306#14306	DYCKIA	Mountain of Needles	Hattori,Takamichi	2013	Kelly	marnier-lapostollei
16082#16082	DYCKIA	Mr Yellowwish	Chantaravipak, Alongkorn / Anantapatr Chantaravipa	2016	Red Shark x Gray Ops	Arizona (F2)
2363#2363	DYCKIA	Multi-Spica	Goode	1980	Red Shark x Gray Ops	Arizona (F2)
14856#14856	DYCKIA	Muskellunge	Matsuda, Kenji	2014	South Bay	?
14330#14330	DYCKIA	Nagas	Anyamaneetrakul S	2013	?	Bone
2364#2364	DYCKIA	Naked Lady (Nude Lady)	?	<1968	encholirioides ?	brevifolia ?
15538#15538	DYCKIA	Nattakorn	Siripokakon, Teerasak	?	?	?
16496#16496	DYCKIA	Nebulareseau	Ueda,Takashi	2015	?	 Japan
11723#11723	DYCKIA	Nefertiti	Wannakrairote S	2011	Pharaoh	hebdingii
15664#15664	DYCKIA	Nemesis	Matsuda, Kenji	2016	Heaven and Hell	Jaws
2365#2365	DYCKIA	New Orleans Red (Nola Red)	Anderson, G. (Johnson, G.*)	<1977	Heaven and Hell	Jaws
15978#15978	DYCKIA	Nickel Charm	Przetocki, Vic	2014	platyphylla	fosteriana
16455#16455	DYCKIA	Nickel Cherry	Przetocki, Vic	2014	platyphylla	fosteriana
15375#15375	DYCKIA	Nickel Dream	Przetocki, Vic	2014	platyphylla	fosteriana
15982#15982	DYCKIA	Nickel Heaven	Przetocki, Vic	2014.	platyphylla	fosteriana
15376#15376	DYCKIA	Nickel King	Przetocki, Vic	2014	platyphylla	fosteriana
15377#15377	DYCKIA	Nickel Queen	Przetocki, Vic	2014	platyphylla	fosteriana
15378#15378	DYCKIA	Nickel Snow	Przetocki, Vic	2014	platyphylla	fosteriana
15990#15990	DYCKIA	Ninja	Siripokakone, Teerasak	2019	Spinosaurus	Nattakorn
15878#15878	DYCKIA	Nord Lead	Sela, Paradon	2017	Mercury	Heaven and Hell
15398#15398	DYCKIA	O-J	Paradon, Sela	2012	marnier-lapostollei	Richard Kaz
14814#14814	DYCKIA	Obsidian	Otto Bromeliad	2014	Tarzan	Snaggle Tooth F2
15562#15562	DYCKIA	OMO	Thanduan, Vichit / Paradon Sela*	?	marnier-lapostollei	?
16149#16149	DYCKIA	Pali	Siripokakone,Teerasak	2018	 Thailand	?
11064#11064	DYCKIA	Pallada	Rungrussamee P, Supanantananont P*	?	encholirioides	?
13042#13042	DYCKIA	Pallada Gold	Rungrussamee, Pallop	?	encholirioides	?
13043#13043	DYCKIA	Pallaphat	Rungrussamee, Pallop	2013	encholirioides	?
11144#11144	DYCKIA	Pandora's Box	Thorut C , Supanantananont P*	2007	platyphylla	marnier-lapostollei
11584#11584	DYCKIA	Paralyse	Thorut C	2010	Charlot	marnier-lapostollei
10631#10631	DYCKIA	Paulsen's Puzzle	Catlan J*	?	?	?
2367#2367	DYCKIA	Pearly Gates	?	?	fosteriana	'Lad Cutak'
9708#9708	DYCKIA	Pharaoh	Baker B / Thorut C*	?	marnier-lapostollei var. estevesii	Dutchs Narrow Leaf x macedoi
15227#15227	DYCKIA	Phoenix	Anyamaneetrakul, Sueb	2016	[Brittle Star F3 (D11) x Bangkok Star]	Nagas
2368#2368	DYCKIA	Picante	(Tropiflora)	<1995	platyphylla	Lad Cutak
14013#14013	DYCKIA	Pink Thorns	? / S Somwatee*	2013	goehringii	?
16005#16005	DYCKIA	Plabuk	Kenji Matsuda	2017	Brittle Star (tissue culture)	Jaws
14963#14963	DYCKIA	Platinum Tracker	Lyall Michael / P Borland*	2010	platyphylla	Black Tracker
11449#11449	DYCKIA	Polar Bear	Chan B	circa 1996	Morning Star	?
2369#2369	DYCKIA	Port Wine	Lawn G*	1999	Morning Star	?
15596#15596	DYCKIA	Prominence	Anyamaneetrakul, Sueb	2016	?	?
16233#16233	DYCKIA	Proton	Sela, Paradon	2017	(Sawfish x Zinfandel F2)	Heaven and Hell
16135#16135	DYCKIA	Purple Silver Ball	Anyamaneetrakul, Sueb	2017	Purple Red Silver	[(Silver Star x ?) x Red Ripper]
15663#15663	DYCKIA	Queen Himiko	Matsuda, Kenji	2016	Rolling Stone	Mercury
11262#11262	DYCKIA	R-gard	Thorut C	2008	platyphylla	marnier-lapostollei (mini form)
11145#11145	DYCKIA	Rainbow Raider	Supanantananont P	2008	Gray Ops	fosteriana
15632#15632	DYCKIA	Raptor	Kunthanun, Satith	2017	(estevesii x burle-marxii)	Lad Cutak
15565#15565	DYCKIA	Rattanakosin	Chan, Alongkorn / Anantapatr Chan*	2014	(distachya x Bill Baker) F1	(distachya x Bill Baker) F1
15909#15909	DYCKIA	Ravineyaka	Ueda,Takashi	2015	Black Ice	Heaven and Hell
15799#15799	DYCKIA	Red Crimson	Anyamaneetrakul, Sueb	2015	Arizona (F2)	Heaven and Hell
2370#2370	DYCKIA	Red Devil	Georgusis, James.	<1985	platyphylla	leptostachia
2371#2371	DYCKIA	Red Fury	Paulsen R	2003	'Betty Farnhill'	?
15459#15459	DYCKIA	Red Gum	Siripokakon, Teerasak	?	?	Mercury
13680#13680	DYCKIA	Red Lotus	Q Qdyckia	2014	Sawfish	7a
11583#11583	DYCKIA	Red Ocean	Thorut C	2007	macedoi	beateae
2372#2372	DYCKIA	Red Planet	Paulsen, Bob*	ca 1990	macedoi	beateae
2373#2373	DYCKIA	Red Robe	Paulsen R	2002	'Betty Farnhill'	?
14012#14012	DYCKIA	Red Thorns	Gastaldi C / S Somwatee*	2013	hebdingii	"donafranciscae" (n.n.)
15666#15666	DYCKIA	Royal Duke	Matsuda, Kenji	2017	Arizona	Jaws
2374#2374	DYCKIA	Ruby Ryde	Ryde R, Ryde K*	1998	fosteriana 'Silver'	'Big Red'
10452#10452	DYCKIA	Ruby Snow	Baker B	?	platyphylla	?
2375#2375	DYCKIA	Ruby's Soft Spot	Hancock F*	?	platyphylla	?
15890#15890	DYCKIA	Salamander	Matsuda, Kenji	2017	Purple Red Silver	Jaws
15456#15456	DYCKIA	Salt	Siripokakon, Teerasak	?	?	?
11438#11438	DYCKIA	Samed Rtp	Rattanapong S	2011	goehringii	goehringii
15405#15405	DYCKIA	Samurai	Anyamaneetrakul, Sueb	2015	Heaven and Hell	Arizona LH
12767#12767	DYCKIA	Second Cousin	Baker B / Chan B*	2007	?	?
15701#15701	DYCKIA	Shannon Lee	Hoffman, Terrance	2013	Red Devil	White Fang
2376#2376	DYCKIA	Sharon Seaborn		<1979	Red Devil	White Fang
15703#15703	DYCKIA	Shredder	Hoffman, Terrance	2012	Big Black	Snaggletooth
16163#16163	DYCKIA	Shuriken	Siripokakone,Teerasak	2019	?	?
11001#11001	DYCKIA	Siam Jade	Supanantananont P	2008	platyphylla	Yellow Glow
15424#15424	DYCKIA	Siamese Twilight	Chan, Alongkorn	circa 2015	platyphylla	Red Devil
15728#15728	DYCKIA	Sidafilya	Ueda, Takashi	2014	 Japan	Red Devil
11598#11598	DYCKIA	Sidewinder	Lemieux R	2009	Brittle Star F2 x estevesii	estevesii
15705#15705	DYCKIA	Sidewinder Megatooth	Hoffman, Terrance	2013	Sidewinder	estevesii
2377#2377	DYCKIA	Silver Bear	Chan B	circa 1996	Morning Star	?
11431#11431	DYCKIA	Silver Cloud	Thorut C	?	dawsonii	?
12177#12177	DYCKIA	Silver Dragon	Kumlungngarm T	2011	Toothy x Richard Kaz	goehringii
2378#2378	DYCKIA	Silver King	(BromTreasury*)?	<1983	fosteriana	goehringii
2379#2379	DYCKIA	Silver Lining	Paulsen R	2003	'Silver King'	?
14165#14165	DYCKIA	Silver Mine	Przetocki V	2011	marnier-lapostollei	fosteriana
2380#2380	DYCKIA	Silver Plate	Paulsen R	2003	'Silver King'	?
2381#2381	DYCKIA	Silver Queen	?	<1968	fosteriana	?
2382#2382	DYCKIA	Silver Sheen	Paulsen, Bob	2000	'Silver King'	?
15155#15155	DYCKIA	Silver Sheen Asia	? / G Lawn *	?	platyphylla ?	?
10029#10029	DYCKIA	Silver Sides			platyphylla ?	?
2383#2383	DYCKIA	Silver Sierra	Shaw, K., Przetocki, V.*	?	platyphylla ?	?
2384#2384	DYCKIA	Silver Spurs	Wurthmann, E.	?	platyphylla ?	?
2385#2385	DYCKIA	Silver Star	Paulsen, Bob	2001	'Silver King'	?
2386#2386	DYCKIA	Silverado	Baker Bill	?	'Silver King'	?
11374#11374	DYCKIA	Sky Walker	Thorut C	2007	Charlot	marnier-lapostollei var. estevesii
11587#11587	DYCKIA	Sleep Walker	Thorut C	2008	California	?
16288#16288	DYCKIA	Snow Leopard	Matsuda, Kenji	2017	Jaws	Arizona
13681#13681	DYCKIA	Snow Shark	Q Qdyckia	2013	Red Shark	marnier-lapostollei
2387#2387	DYCKIA	Snowball	Spivey, R.	?	marnier-lapostollei var. estevesii	fosteriana x platyphylla
11462#11462	DYCKIA	Snowstorm	Baker B, Chan B*	2006	Arizona	?
12000#12000	DYCKIA	Soldena Gold	Huntington Botanical Gardens*	< 1950	 California USA	?
9709#9709	DYCKIA	South Bay	W Baker		Brittle Star x Brittle Star	Brittle Star
16254#16254	DYCKIA	Souther	Matsuda, Kenji	2018	Silver Down	Jaws
2388#2388	DYCKIA	Southern Star	Carrone, Joe	1979	Carlsbad	platyphylla
16280#16280	DYCKIA	Spider Web	Anyamaneetrakul, Sueb	?	Mack the Knife	Nagas
10166#10166	DYCKIA	Spider Witch	?	?	Mack the Knife	dawsonii
15457#15457	DYCKIA	Spinosaurus	Siripokakon, Teerasak	?	dawsonii	?
15333#15333	DYCKIA	Splashing Lobster	Supanantanaont, Pavaphon	2014	Silverback F2	estevesii
14961#14961	DYCKIA	Spunkbubble	Lyall, Michael	2013	platyphylla	Maroon Madness
15746#15746	DYCKIA	Spunkbubblette	Lyall, Michael	2015	platyphylla	Maroon Madness
14962#14962	DYCKIA	Spunky	Lyall, Michael	2014	Platinum Tracker	delicata
11624#11624	DYCKIA	Steve Ball	Rothstein P	2009	South Bay	?
15696#15696	DYCKIA	Storm	Hoffman, Terrance	2012	marnier-lapostollei	Brittle Star F2
16150#16150	DYCKIA	Sukeep	Siripokakone,Teerasak	2018	fosteriana	?
2389#2389	DYCKIA	Sun Bear	Chan B	<2000	'Morning Star'	?
2390#2390	DYCKIA	Suntan	Ferris, O.	1982	Large Red(?)	remotiflora
15412#15412	DYCKIA	T-Rex	Thanduan, Vichit / Chanin Thorut*	?	Large Red(?)	marnier-lapostollei
15704#15704	DYCKIA	Taipan	Hoffman, Terrance	2011	White Fang	fosteriana
15303#15303	DYCKIA	Taiyo	Anyamaneetrakul, Sueb	2016	?	Brittle Star
11824#11824	DYCKIA	Taniwha	Thorut C / Devonshire A*	2008	marnier-lapostollei	Charlot
16392#16392	DYCKIA	Tarantula	Matsuda, Kenji	2017	Mercury	Jaws
13338#13338	DYCKIA	Te Ariki	Thorut  C / Andrew Devonshire*	2008	marnier-lapostollei	Charlot
15431#15431	DYCKIA	The Day 2011	Yabe, Hiroshi	2011	marnier-lapostollei	goehringii
15715#15715	DYCKIA	The Hulk	Sangchai, Santiporn	?	goehringii	?
10431#10431	DYCKIA	The Saviour	Chan B	?	Brittle Star F2	?
15209#15209	DYCKIA	Thirsty Fuzz Tone	Ueda, Takashi	2014	Rolling Stone	fosteriana
15994#15994	DYCKIA	Throne Clouds	Siripokakone, Teerasak	2019	 Thailand	fosteriana
14832#14832	DYCKIA	Throwing Star	Anyamaneetrakul, Sueb	2010	goehringii	Arizona
2391#2391	DYCKIA	Tight Fist	Paulsen R	2002	'Silver King'	?
15745#15745	DYCKIA	Tight Tracker	Lyall, Michael	2016	Tight Fist	Black Tracker
12741#12741	DYCKIA	Tooth and Nail	Baker B / Chan B*	2007	?	?
2392#2392	DYCKIA	Toothy	Baker, W.*	?	?	?
14964#14964	DYCKIA	Treesaregreen	Lyall, Michael	2014	Silver Lining	?
16519#16519	DYCKIA	Tremhaze	Ueda,Takashi	2015	 Japan	?
16004#16004	DYCKIA	Trilobite	Matsuda, Kenji	2017	Rolling Stone	Jaws
15318#15318	DYCKIA	Tsunami	Thanduan, Vichit /  Chanin Thorut*	?	marnier-lapostollei	?
14576#14576	DYCKIA	Tuatara	Q Dyckia / Andrew Devonshire*	2014	marnier-lapostollei	Arizona
15437#15437	DYCKIA	Tyrant	Matsuda, Kenji	2016	Jaws	Arizona
15889#15889	DYCKIA	Ultrasonic	Matsuda, Kenji	2017	Brittle Star (tissue culture)	Jaws
15667#15667	DYCKIA	Unicorn	Anyamaneetrakul, Sueb	?	(Brittle Star F3 D11 x Bangkok Star)	Nagas
16277#16277	DYCKIA	Valley Sunkissed	Smythe, Aaron	2015	platyphylla	goehringii
15646#15646	DYCKIA	Vampire	Anyamaneetrakul, Sueb	2017	Red and White	Gojasu
15665#15665	DYCKIA	Vega	Kenji Matsuda	2017	Brittle Star	Jaws
15724#15724	DYCKIA	Vertigynic	Ueda, Takashi	2014	Brittle Star	Ice
2393#2393	DYCKIA	Vista	Kent, J.	<1979	fosteriana	brevifolia
2394#2394	DYCKIA	Warren	Baker, Bill	<1998	marnier-lapostollei	Brittle Star
13644#13644	DYCKIA	Wasabi	Qdyckia, Q	2014	 Thailand	Brittle Star
13010#13010	DYCKIA	Whiplash	? / Lyons G*	?	?	?
15699#15699	DYCKIA	White Dragon Claw	Hoffman, Terrance	2013	Silver Nickel	Brittle Star f2
15729#15729	DYCKIA	White Fang	King, Richard	2013	Silver Nickel	marnier-lapostollei
15077#15077	DYCKIA	White Lightning	Borland, Paul	2012	marnier-lapostollei	?
16148#16148	DYCKIA	White Moon	Siripokakone,Teerasak	2019	marnier-lapostollei var. estevesii	Mack the Knife
11375#11375	DYCKIA	White Ocean	Thorut C	2007	macedoi	beateae
15458#15458	DYCKIA	White Tiger	Siripokakon, Teerasak	?	Red Silver Purple	?
11457#11457	DYCKIA	White Whiskers	Chan B	circa 2000	Morning Star	?
15539#15539	DYCKIA	X-Mutate	Siripokakon, Teerasak	?	?	?
9710#9710	DYCKIA	Yakuza	C Thorut*		?	?
2395#2395	DYCKIA	Yellow Glow	DeLeon*?	<198?	?	brevifolia
15427#15427	DYCKIA	Yi Peng	Chan, Alongkorn, & Anantapatr Chan	2015	Charlot	macedoi
15700#15700	DYCKIA	Yvonne Raley	Hoffman, Terrance	2011	?	fosteriana
15635#15635	DYCKIA	Zipang	Matsuda, Kenji	2016	Heaven and Hell	Jaws
9986#9986	EDMUNDOA	Alvim Seidel	Butcher D*	1970s		
12370#12370	EDMUNDOA	Brazil	Lawn G*	1970s		
14778#14778	EDMUNDOA	Rosea	? / Derek Butcher*			
10030#10030	ENCHOLIRIUM	Angelita			Dyckia	Encholirium
15444#15444	GOUDAEA	Boyaca	? / Franz Gruber*	?	ospinae var. gruberi	ospinae var. gruberi
16105#16105	GOUDAEA	Chivor	Gruber, Franz / Peter Tristram*	?	Goudaea ospinae var. gruberi	Goudaea ospinae var. gruberi
15927#15927	GOUDAEA	Double Smudge	Cameron, Mal & Michelle	2017	Smudge Bob	Goudaea ospinae var. gruberi
16123#16123	GOUDAEA	Golden Dragon	Shiigi, David	2003	ospinae var. gruberi	ospinae var. gruberi
16121#16121	GOUDAEA	Hawaiian Tiger	Shiigi, David	2003	ospinae var. gruberi	ospinae var. gruberi
14158#14158	GOUDAEA	Hot Chocolate	Tristram P / M & M Cameron*	circa 2011	ospinae var. gruberi	ospinae var. gruberi
16106#16106	GOUDAEA	Medina	Gruber, Franz / Peter Tristram*	circa 2000	Goudaea ospinae var. gruberi	Goudaea ospinae var. gruberi
16107#16107	GOUDAEA	San Luis	Gruber, Franz / Peter Tristram*	circa 2000	Goudaea ospinae var. gruberi	Goudaea ospinae var. gruberi
13950#13950	GOUDAEA	Santa Maria	Gruber F / P Tristram*	circa 2000	ospinae var. gruberi	ospinae var. gruberi
16122#16122	GOUDAEA	Snow Dragon	Shiigi, David	2003	ospinae var. gruberi	ospinae var. gruberi
16238#16238	GOUDAEA	Snow Queen	Fell, David	circa 2010	Hawaiian Magic	ospinae var. gruberi
14159#14159	GOUDAEA	Urszula Dudek	Tristram P / M & M Cameron*	circa 2011	ospinae var. gruberi	ospinae var. gruberi
2396#2396	GUZMANIA	Ada	Duraflor	?		
2397#2397	GUZMANIA	Aerial Gardens	Hummel	<1974		
2398#2398	GUZMANIA	Alerta	Exotic Plant*	?		
2399#2399	GUZMANIA	Alii	Shiigi, D.	?		
2400#2400	GUZMANIA	Alisha	Duraflor, Deroose*	?		
2401#2401	GUZMANIA	Amalia	Duraflor, Deroose*	?		
2402#2402	GUZMANIA	Amanda	Duraflor, Deroose*	?		
2403#2403	GUZMANIA	Amaranth	Corn. Bak	<1983	wittmackii (purple form)	lingulata
2404#2404	GUZMANIA	Ambiance	?	?	wittmackii (purple form)	lingulata
2405#2405	GUZMANIA	Amethyst	Deroose*	?	wittmackii (purple form)	lingulata
2406#2406	GUZMANIA	Amimosa	Exotic Plant*	?	wittmackii (purple form)	lingulata
2407#2407	GUZMANIA	Anastasia	Duraflor, Deroose*	?	wittmackii (purple form)	lingulata
2408#2408	GUZMANIA	Andrea	Deroose*	?	wittmackii (purple form)	lingulata
2409#2409	GUZMANIA	Angelita	Duraflor, Deroose*	?	wittmackii (purple form)	lingulata
2410#2410	GUZMANIA	Anita	Hill, H. (Deroose #G129)	1982	'Magnifica'	'Deanna'
2411#2411	GUZMANIA	Anna	DeRoose	<2000	'Magnifica'	'Deanna'
2412#2412	GUZMANIA	Apache	Deroose*	?	'Magnifica'	'Deanna'
2413#2413	GUZMANIA	Ashley	Kent, Deroose*	?	'Magnifica'	'Deanna'
2414#2414	GUZMANIA	Asma	? <	2000	'Magnifica'	'Deanna'
2415#2415	GUZMANIA	Astro	Altria Lab.	?	'Magnifica'	'Deanna'
2416#2416	GUZMANIA	Attila	Corn. Bak	<1991	wittmackii	dissitiflora? sprucei?
2417#2417	GUZMANIA	Audrey	Duraflor, Deroose*	?	wittmackii	dissitiflora? sprucei?
2418#2418	GUZMANIA	Aurora	?	?	wittmackii	dissitiflora? sprucei?
2419#2419	GUZMANIA	Aziza	Deroose, R.	?	wittmackii	dissitiflora? sprucei?
2420#2420	GUZMANIA	Bahia	Exotic Plant*	?	wittmackii	dissitiflora? sprucei?
2421#2421	GUZMANIA	Basic	Corn.Bak*	?	wittmackii	dissitiflora? sprucei?
2422#2422	GUZMANIA	Beau	Duraflor Nursery, Deroose Plants*	?	wittmackii	dissitiflora? sprucei?
11179#11179	GUZMANIA	Bernie's Gold	Bak Corn, Fell D*	<1994	wittmackiii (purple form)	lingulata
2423#2423	GUZMANIA	Bettina	Kent, Deroose*	?	wittmackiii (purple form)	lingulata
2424#2424	GUZMANIA	Betty	Duraflor, Deroose*	?	wittmackiii (purple form)	lingulata
2425#2425	GUZMANIA	Blanca	Exotic Plant*	?	wittmackiii (purple form)	lingulata
2426#2426	GUZMANIA	Bolero	?	?	wittmackiii (purple form)	lingulata
2427#2427	GUZMANIA	Bonfire	Hummel	<1970	wittmackiii (purple form)	lingulata
2428#2428	GUZMANIA	Bonita	(Exotic Plant*)	<1995	lingulata?	wittmackii?
2429#2429	GUZMANIA	Brenda	Deroose*	?	lingulata?	wittmackii?
2430#2430	GUZMANIA	Brielle	Hill, H.	<1996	lingulata 'Memoria'	squarrosa 'Ralph Davis'
2431#2431	GUZMANIA	Britt	Duraflor, Deroose*	?	lingulata 'Memoria'	squarrosa 'Ralph Davis'
2432#2432	GUZMANIA	Broadview	(Jones, Rodney*)	<1967	lingulata 'Memoria'	lingulata v. cardinalis
2433#2433	GUZMANIA	Butterscotch	?	?	lingulata 'Memoria'	lingulata v. cardinalis
2434#2434	GUZMANIA	Caissa	Duraflor, Deroose*	?	lingulata 'Memoria'	lingulata v. cardinalis
2435#2435	GUZMANIA	Calypso	Gulz, Hans	<1975	lingulata 'Memoria'	lingulata v. cardinalis
2436#2436	GUZMANIA	Camilla	Duraflor, Deroose*	?	lingulata 'Memoria'	lingulata v. cardinalis
13000#13000	GUZMANIA	Candy	Skotak C / Deroose Plants *	2004	[(lingulata x conifera) x alborosea]	dissitiflora
2437#2437	GUZMANIA	Candy Cane	Kent J	<1994	[(lingulata x conifera) x alborosea]	dissitiflora
2438#2438	GUZMANIA	Candy Corn	Hendrix, Gary	1975	lingulata v. cardinalis	conifera
2439#2439	GUZMANIA	Carine	DeMeyer-DeRouck	<1976	lingulata v. cardinalis	lingulata
2440#2440	GUZMANIA	Carmen	?Kent J	<1984	lingulata v. cardinalis	lingulata
2441#2441	GUZMANIA	Carnise	Deroose*	?	lingulata v. cardinalis	lingulata
2442#2442	GUZMANIA	Caroline	?	<1979	lingulata v. cardinalis	lingulata
2443#2443	GUZMANIA	Cassandra	Duraflor, Deroose*	?	lingulata v. cardinalis	lingulata
2444#2444	GUZMANIA	Catherine	Deroose*	?	lingulata v. cardinalis	lingulata
9711#9711	GUZMANIA	Cavado	?		?	?
2445#2445	GUZMANIA	Cecilia	Duraflor, Deroose*	?	?	?
2446#2446	GUZMANIA	Cherry	DeMeyer-DeRouck	1980	lingulata	wittmackii
2447#2447	GUZMANIA	Cherry Smash	DeLeon	1984	lingulata	wittmackii
2448#2448	GUZMANIA	Chevalieri	Dutrie	<1939	lingulata v. splendens	zahnii
2449#2449	GUZMANIA	Chiara	Duraflor, Deroose*	?	lingulata v. splendens	zahnii
2450#2450	GUZMANIA	Chloe	Hill, H., Deroose*	?	lingulata v. splendens	zahnii
2451#2451	GUZMANIA	Christine	DeMeyer	<1972	lingulata v. splendens	lingulata minor (red leaves)
2452#2452	GUZMANIA	Claret	Corn. Bak	<1994	wittmackii	lingulata
2453#2453	GUZMANIA	Classic	Corn.Bak*	?	wittmackii	lingulata
2454#2454	GUZMANIA	Claudine	DeMeyer/DeRouck	<1972	donnell-smithii	lingulata v. splendens
2455#2455	GUZMANIA	Clementina	Exotic Plant	<1995	donnell-smithii	lingulata v. splendens
2456#2456	GUZMANIA	Colombian Gold	Catlan, J.*	n/a	lingulata	sanguinea
2457#2457	GUZMANIA	Conquest	Altria Labs	?	.043A	sprucei
2458#2458	GUZMANIA	Continental	Corn. Bak	<1994	.043A	sprucei
2459#2459	GUZMANIA	Copito	?	?	.043A	sprucei
2460#2460	GUZMANIA	Corazon	Kent, Deroose*	?	.043A	sprucei
2461#2461	GUZMANIA	Daisy Mae	Yamamoto (#33)	1964	.043A	'Insignis'
2462#2462	GUZMANIA	Daniel	Deroose, R. (G907)	<1997	wittmackii	'Insignis'
2463#2463	GUZMANIA	Dark Star	Smythe R*	?	wittmackii	'Insignis'
2464#2464	GUZMANIA	Dawn	Deroose*	?	wittmackii	'Insignis'
2465#2465	GUZMANIA	De La Courte	Hummel	<1976	wittmackii	'Insignis'
2466#2466	GUZMANIA	Decora	Corn. Bak	<1994	wittmackii	lingulata
2467#2467	GUZMANIA	Denise	DeMeyer/DeRouck	<1984	lingulata	squarrosa
2468#2468	GUZMANIA	Diana	Van Schei, Deroose*	?	lingulata	squarrosa
2469#2469	GUZMANIA	Dianthe	Duraflor	?	lingulata	squarrosa
2470#2470	GUZMANIA	Dolores	?	<1995	wittmackii	lingulata
2471#2471	GUZMANIA	Doo	Hummel (Cole*)	<1980	wittmackii	lingulata
2472#2472	GUZMANIA	Dubbonett	DeLeon	1985	remyi	melinonis
2473#2473	GUZMANIA	El Cope	n/a	?	remyi	lingulata
2474#2474	GUZMANIA	Elaine	?	<1977	berteroniana	zahnii
2475#2475	GUZMANIA	Ellen	Duraflor	?	berteroniana	zahnii
2476#2476	GUZMANIA	Eloise	Duraflor, Deroose*	?	berteroniana	zahnii
