pid	genus	hybrid	author	year	seed	pollen
7043#7043	NEOREGELIA	Shawn		<1979	farinosa	wurdackii?
7044#7044	NEOREGELIA	Shazam	Dole, Bud	1986	'Nanus' x 'Orange Blush'	'Santiago'
13053#13053	NEOREGELIA	Shebang	Skotak C / Beach E *	2006	(carolinae variegated x carolinae "pink") x concentrica	Pink Sensation
10807#10807	NEOREGELIA	Sheer Bliss	Paterson M	2001	One and Only	?
7047#7047	NEOREGELIA	Sheer Delight	Ryan, A., Stansfield, G.*	?	carolinae	?
7048#7048	NEOREGELIA	Sheer Joy	Goode, G.	1974	'Vulkan'	carolinae hybrid
12374#12374	NEOREGELIA	Sheer Luck	Petersen S	1996	(carolinae variegated x concentrica) x Meyendorffii	Purple Paint
7049#7049	NEOREGELIA	Sheik	Przetocki, V.	1987	'Avalon'	'Takemura Grande'
7050#7050	NEOREGELIA	Sheik of Araby	Elmore, J. (#1268)	1978	Fire God	Fairy Paint
7051#7051	NEOREGELIA	Shelldance	Woods, D.*	?	 ?	Fairy Paint
